horizon,model,framing,scheme,blend_w,params,cv_MAE,test_MAE,test_RMSE,test_MAPE,test2024_MAE,test2024_RMSE,test2024_MAPE,test2025_MAE,test2025_RMSE,test2025_MAPE,frozen_test_MAE
1,LightGBM,logratio,window,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",66.6874361505542,51.89171762444531,67.42071983637032,12.24457792471956,49.17284501251266,63.95170864267757,12.785468077313093,55.06373567170009,71.25476329584447,11.613539413360433,55.91620655715089
1,LightGBM,logratio,window,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",89.97120614268765,56.81252182202156,74.46590807155161,13.49851420436114,67.14945935178851,82.50974193826927,16.837587053476977,44.752761370626764,63.81252024607131,9.602929213725993,61.69436024973119
1,LightGBM,ratio_ly,expand,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",263.9071214840564,76.17256076335788,97.11104564600687,17.91395252531355,53.46799536248084,71.2815356410245,15.158526742603618,102.66122039771447,120.4365781650189,21.128615938475143,78.9327585444178
1,LightGBM,ratio_ly,expand,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",202.63402973975982,71.05717044575563,89.39902583866774,16.85155621217826,60.87303164677062,81.16187515858529,16.231260995211695,82.93866571123816,98.13907293303356,17.575233965305927,77.08270861185486
1,LightGBM,ratio_ly,expand,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",143.06142319663462,71.92561181740902,88.66592932761404,17.242589011365688,77.4394313115051,96.64606944942578,19.68616933047912,65.49282240763024,78.33493486914615,14.391745305733346,77.77782487497737
1,LightGBM,ratio_ly,decay,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",244.02052500045738,69.77653645203175,89.71010905379877,16.449030958422853,54.67174693569827,71.06542801924995,14.660816812292362,87.39879088775412,107.44819080752649,18.5352807955751,73.22050012666735
1,LightGBM,ratio_ly,decay,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",187.71592154652157,66.95197288722171,85.51941913170867,15.622997171846995,60.96435523292436,81.15679149818929,15.33384232396838,73.9375268172353,90.34328049921513,15.960344494372041,73.3457220122415
1,LightGBM,ratio_ly,decay,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",131.7372810310144,69.82843479963638,87.44773868340837,16.458403179765583,76.19326835138071,95.83641728797303,18.854924324693346,62.40279565593464,76.50714439490861,13.66246184401653,75.67663518764817
1,LightGBM,ratio_ly,window,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",263.9071214840564,68.12982329895188,88.55508886753823,16.2041033015577,52.83389629074513,71.99475555781987,14.652253982592049,85.97507147519312,104.61304502911115,18.014594173684298,78.9327585444178
1,LightGBM,ratio_ly,window,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",202.63402973975982,65.45736021848172,83.37141013008483,15.609571607460357,59.66540874312764,79.27640274979233,15.849719969403886,72.21463693972814,87.90815294138307,15.329398518526242,77.08270861185486
1,LightGBM,ratio_ly,window,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",143.06142319663462,68.25335107057008,85.38855842346847,16.29403654673944,74.38392463744269,93.02968275408885,19.019537550784587,61.10101524255199,75.5027855027109,13.114285375353438,77.77782487497737
1,LightGBM,ratio_blend,expand,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",124.04292711881305,55.79587801642414,72.61933454092777,13.15589373742993,39.37371784645529,52.676457705336276,10.943915619343578,74.9550648813878,90.4919115763934,15.736534875197345,55.36608895798758
1,LightGBM,ratio_blend,expand,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",96.64959225300942,55.81813960734659,71.20393372333513,13.161711159471631,50.96342486825947,66.526323863125,13.19533742723366,61.481973469614886,76.299563064075,13.12248051374926,59.362063937316854
